"","YEAR","COUNTY","state_county","Mexican","total_pop","total_his"
"1",1980,"Cook","17031",310428,5253655,499322
"2",1980,"Dupage","17043",11478,658835,17302
"3",1980,"Kane","17089",19888,278405,26118
"4",1980,"Lake","17097",13657,440372,21064
"5",1980,"McHenry","17111",2403,147897,3025
"6",1980,"Will","17197",11127,324460,13778
"7",1980,"Chicago","17031",255791,3004681,422051
