"","GISJOIN","STATE","state_county","YEAR","Mexican","Puerto Rican","Cuban","Dominican Republic","Central American","South American","Other Hispanic or Latino","Total Hispanic or Latino","Central American, Costa Rican","Central American, Guatemalan","Central American, Honduran","Central American, Nicaraguan","Central American, Panamian","Central American, Salvadoran","Central American, Other Central American","South American, Argentinean","South American, Bolivian","South American, Chilean","South American, Colombian","South American, Ecuadorian","South American, Paraguayan","South American, Peruvian","South American, Uruguayan","South American, Venezuelan","South American, Other South American","Other Hispanic or Latino, Spaniard","Other Hispanic or Latino, Spanish","Other Hispanic or Latino, Spanish American","Other Hispanic or Latino, All other Hispanic or Latino","county"
"486","G1700310330100","Illinois","17031",2000,129,35,6,1,4,24,19,218,1,0,1,0,0,2,0,1,2,3,10,1,0,1,1,1,4,0,2,0,17,"Cook"
"487","G1700310330200","Illinois","17031",2000,82,5,7,1,2,9,16,122,0,1,0,0,0,0,1,1,0,0,0,1,0,2,0,3,2,0,0,0,16,"Cook"
"488","G1700310330300","Illinois","17031",2000,8,8,5,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"489","G1700310330400","Illinois","17031",2000,16,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"490","G1700310330500","Illinois","17031",2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"491","G1700310340100","Illinois","17031",2000,15,3,0,0,2,2,0,22,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Cook"
"492","G1700310340200","Illinois","17031",2000,99,1,1,0,1,9,11,122,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,11,"Cook"
"493","G1700310340300","Illinois","17031",2000,73,11,0,0,0,6,2,92,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,1,0,1,"Cook"
"494","G1700310340400","Illinois","17031",2000,71,7,0,0,0,3,15,96,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,14,"Cook"
"495","G1700310340500","Illinois","17031",2000,77,8,2,0,6,0,14,107,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,13,"Cook"
"496","G1700310340600","Illinois","17031",2000,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"497","G1700310350100","Illinois","17031",2000,10,5,0,0,4,8,3,30,0,3,0,0,0,1,0,3,0,1,3,0,0,1,0,0,0,0,1,0,2,"Cook"
"498","G1700310350200","Illinois","17031",2000,12,4,1,0,0,4,3,24,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,2,"Cook"
"499","G1700310350300","Illinois","17031",2000,3,0,0,2,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"Cook"
"500","G1700310350400","Illinois","17031",2000,1,1,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"Cook"
"501","G1700310350500","Illinois","17031",2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"502","G1700310350600","Illinois","17031",2000,46,10,2,0,2,9,22,91,0,0,2,0,0,0,0,2,0,1,1,0,0,4,0,1,0,6,8,0,8,"Cook"
"503","G1700310350700","Illinois","17031",2000,17,3,2,0,0,1,6,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,"Cook"
"504","G1700310350800","Illinois","17031",2000,4,1,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,"Cook"
"505","G1700310350900","Illinois","17031",2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"506","G1700310351000","Illinois","17031",2000,12,4,3,0,5,0,6,30,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,"Cook"
"507","G1700310351100","Illinois","17031",2000,9,4,1,0,0,1,15,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,13,"Cook"
"508","G1700310351200","Illinois","17031",2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"509","G1700310351300","Illinois","17031",2000,9,2,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"510","G1700310351400","Illinois","17031",2000,10,5,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"511","G1700310351500","Illinois","17031",2000,7,0,0,3,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Cook"
"512","G1700310360100","Illinois","17031",2000,1,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"513","G1700310360200","Illinois","17031",2000,15,0,2,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"514","G1700310360300","Illinois","17031",2000,6,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"515","G1700310360400","Illinois","17031",2000,11,2,2,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"516","G1700310360500","Illinois","17031",2000,3,7,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"517","G1700310370100","Illinois","17031",2000,2,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"518","G1700310370200","Illinois","17031",2000,22,2,1,0,2,0,12,39,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,"Cook"
"519","G1700310370300","Illinois","17031",2000,11,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"520","G1700310370400","Illinois","17031",2000,58,0,0,1,0,0,3,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"Cook"
"521","G1700310380100","Illinois","17031",2000,1,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"Cook"
"522","G1700310380200","Illinois","17031",2000,15,1,2,0,0,0,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"Cook"
"523","G1700310380300","Illinois","17031",2000,8,1,5,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"524","G1700310380400","Illinois","17031",2000,3,0,0,0,1,0,4,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"Cook"
"525","G1700310380500","Illinois","17031",2000,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"526","G1700310380600","Illinois","17031",2000,9,0,2,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Cook"
"527","G1700310380700","Illinois","17031",2000,14,3,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Cook"
"528","G1700310380800","Illinois","17031",2000,7,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"529","G1700310380900","Illinois","17031",2000,8,2,0,2,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Cook"
"530","G1700310381000","Illinois","17031",2000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"531","G1700310381100","Illinois","17031",2000,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"532","G1700310381200","Illinois","17031",2000,10,8,0,1,1,0,1,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Cook"
"533","G1700310381300","Illinois","17031",2000,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"534","G1700310381400","Illinois","17031",2000,2,13,1,0,1,0,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"535","G1700310381500","Illinois","17031",2000,6,0,0,0,2,0,5,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"Cook"
"536","G1700310381600","Illinois","17031",2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"537","G1700310381700","Illinois","17031",2000,5,0,2,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Cook"
"538","G1700310381800","Illinois","17031",2000,6,4,3,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Cook"
"539","G1700310381900","Illinois","17031",2000,7,1,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"540","G1700310382000","Illinois","17031",2000,32,3,1,0,0,0,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Cook"
"541","G1700310390100","Illinois","17031",2000,10,7,0,0,1,0,0,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"542","G1700310390200","Illinois","17031",2000,4,3,1,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"Cook"
"543","G1700310390300","Illinois","17031",2000,3,9,4,0,1,0,6,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,"Cook"
"544","G1700310390400","Illinois","17031",2000,15,1,1,1,2,0,9,29,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,"Cook"
"545","G1700310390500","Illinois","17031",2000,20,15,0,5,4,6,6,56,0,0,0,0,4,0,0,0,1,0,0,0,0,4,0,0,1,0,0,0,6,"Cook"
"546","G1700310390600","Illinois","17031",2000,23,4,1,0,0,2,11,41,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,9,"Cook"
"547","G1700310390700","Illinois","17031",2000,38,16,4,3,4,25,33,123,0,1,0,0,2,1,0,12,2,4,0,2,0,3,0,0,2,2,1,2,28,"Cook"
"548","G1700310400100","Illinois","17031",2000,5,1,2,0,0,0,11,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,"Cook"
"549","G1700310400200","Illinois","17031",2000,12,0,0,0,0,0,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,"Cook"
"550","G1700310400300","Illinois","17031",2000,18,2,12,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"551","G1700310400400","Illinois","17031",2000,9,2,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Cook"
"552","G1700310400500","Illinois","17031",2000,1,4,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Cook"
"553","G1700310400600","Illinois","17031",2000,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"554","G1700310400700","Illinois","17031",2000,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"555","G1700310400800","Illinois","17031",2000,12,9,0,0,1,4,9,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,"Cook"
"556","G1700310410100","Illinois","17031",2000,68,15,8,1,8,12,14,126,0,0,1,0,6,1,0,0,3,0,2,5,0,2,0,0,0,0,4,1,9,"Cook"
"557","G1700310410200","Illinois","17031",2000,16,2,1,0,5,10,9,43,0,4,0,0,0,1,0,0,1,3,2,0,0,0,0,1,3,1,1,1,6,"Cook"
"558","G1700310410300","Illinois","17031",2000,24,4,1,0,4,13,0,46,0,0,0,0,3,1,0,3,0,7,2,0,0,0,0,1,0,0,0,0,0,"Cook"
"559","G1700310410400","Illinois","17031",2000,2,1,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Cook"
"560","G1700310410500","Illinois","17031",2000,30,17,3,0,9,4,13,76,1,2,0,0,6,0,0,0,0,0,1,0,0,3,0,0,0,0,8,0,5,"Cook"
"561","G1700310410600","Illinois","17031",2000,48,26,11,0,1,10,12,108,1,0,0,0,0,0,0,2,0,3,1,1,0,3,0,0,0,0,1,0,11,"Cook"
"562","G1700310410700","Illinois","17031",2000,90,11,4,1,11,24,26,167,0,2,0,0,5,4,0,10,2,1,5,0,0,5,0,1,0,2,4,0,20,"Cook"
"563","G1700310410800","Illinois","17031",2000,52,6,10,2,11,14,12,107,1,2,0,0,6,2,0,6,0,2,1,1,0,2,0,2,0,2,0,0,10,"Cook"
"564","G1700310410900","Illinois","17031",2000,134,21,8,0,10,29,19,221,2,4,1,1,1,1,0,8,1,1,5,1,0,8,0,5,0,1,4,0,14,"Cook"
"565","G1700310411000","Illinois","17031",2000,50,9,12,0,6,17,21,115,0,2,2,0,1,0,1,1,1,3,2,0,1,7,0,2,0,1,4,0,16,"Cook"
"566","G1700310411100","Illinois","17031",2000,34,9,2,0,2,12,22,81,0,0,0,0,0,2,0,0,1,0,0,4,1,4,1,0,1,2,10,0,10,"Cook"
"567","G1700310411200","Illinois","17031",2000,20,7,2,1,5,17,11,63,1,0,0,0,0,1,3,4,0,4,1,0,0,5,3,0,0,5,4,0,2,"Cook"
"568","G1700310411300","Illinois","17031",2000,15,5,0,0,0,6,2,28,0,0,0,0,0,0,0,1,0,2,1,1,0,0,1,0,0,0,0,0,2,"Cook"
"569","G1700310411400","Illinois","17031",2000,7,5,3,0,0,23,6,44,0,0,0,0,0,0,0,6,2,3,4,0,0,1,5,2,0,0,1,0,5,"Cook"
"570","G1700310420100","Illinois","17031",2000,8,0,0,0,1,0,5,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"Cook"
"571","G1700310420200","Illinois","17031",2000,10,3,1,2,17,2,1,36,3,12,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,"Cook"
"572","G1700310420300","Illinois","17031",2000,9,5,1,0,0,0,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,"Cook"
"573","G1700310420400","Illinois","17031",2000,13,1,1,0,0,2,11,28,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,1,0,6,"Cook"
"574","G1700310420500","Illinois","17031",2000,11,3,4,0,0,0,18,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,"Cook"
"575","G1700310420600","Illinois","17031",2000,16,9,1,0,0,0,7,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"Cook"
"576","G1700310420700","Illinois","17031",2000,12,2,2,0,0,0,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"Cook"
"577","G1700310420800","Illinois","17031",2000,11,4,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"Cook"
"578","G1700310420900","Illinois","17031",2000,2,8,5,0,0,0,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"Cook"
"579","G1700310421000","Illinois","17031",2000,25,9,0,0,0,0,4,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,"Cook"
"580","G1700310421100","Illinois","17031",2000,6,2,2,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Cook"
"581","G1700310421200","Illinois","17031",2000,7,0,1,0,2,4,0,14,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,"Cook"
"582","G1700310430100","Illinois","17031",2000,42,23,3,0,3,0,28,99,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,27,"Cook"
"583","G1700310430200","Illinois","17031",2000,17,26,1,0,0,0,2,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Cook"
"584","G1700310430300","Illinois","17031",2000,9,14,1,0,2,0,1,27,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Cook"
"585","G1700310430400","Illinois","17031",2000,5,4,3,0,3,0,10,25,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,"Cook"
"586","G1700310430500","Illinois","17031",2000,23,3,1,0,0,0,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"Cook"
"587","G1700310430600","Illinois","17031",2000,4,3,3,0,0,0,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"Cook"
"588","G1700310430700","Illinois","17031",2000,16,7,0,0,1,0,19,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,"Cook"
"589","G1700310430800","Illinois","17031",2000,15,4,0,0,2,0,4,25,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,"Cook"
"590","G1700310430900","Illinois","17031",2000,6,6,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"Cook"
"591","G1700310431000","Illinois","17031",2000,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"592","G1700310431100","Illinois","17031",2000,28,5,1,0,3,0,8,45,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,"Cook"
"593","G1700310431200","Illinois","17031",2000,9,4,2,0,7,0,14,36,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,"Cook"
"594","G1700310431300","Illinois","17031",2000,78,9,1,0,3,0,22,113,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,18,"Cook"
"595","G1700310431400","Illinois","17031",2000,64,23,5,1,4,1,14,112,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,"Cook"
"596","G1700310440100","Illinois","17031",2000,36,15,4,0,0,0,15,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,"Cook"
"597","G1700310440200","Illinois","17031",2000,32,9,6,0,2,0,14,63,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,"Cook"
"598","G1700310440300","Illinois","17031",2000,11,8,0,0,1,0,6,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,"Cook"
"599","G1700310440400","Illinois","17031",2000,10,1,1,0,0,1,3,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,"Cook"
"600","G1700310440500","Illinois","17031",2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"601","G1700310440600","Illinois","17031",2000,2,0,2,0,4,1,7,16,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,"Cook"
"602","G1700310440700","Illinois","17031",2000,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"603","G1700310440800","Illinois","17031",2000,0,3,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"604","G1700310440900","Illinois","17031",2000,16,3,0,0,0,0,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"Cook"
"605","G1700310450100","Illinois","17031",2000,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"606","G1700310450200","Illinois","17031",2000,9,16,6,0,3,3,6,43,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,5,"Cook"
"607","G1700310450300","Illinois","17031",2000,28,7,1,0,0,0,5,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"Cook"
"608","G1700310460100","Illinois","17031",2000,898,75,1,1,9,1,70,1055,0,4,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,10,0,60,"Cook"
"609","G1700310460200","Illinois","17031",2000,1821,153,5,0,14,0,132,2125,0,0,3,2,0,2,7,0,0,0,0,0,0,0,0,0,0,0,8,1,123,"Cook"
"610","G1700310460300","Illinois","17031",2000,1645,102,5,0,14,1,111,1878,0,6,0,0,4,4,0,0,0,0,0,0,0,0,0,1,0,0,8,0,103,"Cook"
"611","G1700310460400","Illinois","17031",2000,63,22,2,0,0,0,15,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,"Cook"
"612","G1700310460500","Illinois","17031",2000,24,20,5,0,2,0,7,58,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"Cook"
"613","G1700310460600","Illinois","17031",2000,349,26,0,0,4,1,14,394,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,13,"Cook"
"614","G1700310460700","Illinois","17031",2000,1956,176,0,0,33,6,91,2262,0,6,9,2,0,9,7,0,0,0,0,6,0,0,0,0,0,0,4,0,87,"Cook"
"615","G1700310460800","Illinois","17031",2000,295,6,4,0,2,0,14,321,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,"Cook"
"616","G1700310460900","Illinois","17031",2000,1432,84,0,1,27,0,84,1628,0,12,1,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,4,0,80,"Cook"
"617","G1700310461000","Illinois","17031",2000,582,91,0,0,30,0,39,742,0,2,2,0,9,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,39,"Cook"
"618","G1700310470100","Illinois","17031",2000,22,6,3,1,0,0,2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Cook"
"619","G1700310480100","Illinois","17031",2000,13,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Cook"
"620","G1700310480200","Illinois","17031",2000,16,3,0,0,0,2,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,"Cook"
"621","G1700310480300","Illinois","17031",2000,11,3,0,0,1,0,1,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Cook"
"622","G1700310480400","Illinois","17031",2000,73,27,5,2,4,3,15,129,1,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,15,"Cook"
"623","G1700310480500","Illinois","17031",2000,501,33,0,0,6,0,26,566,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,"Cook"
"624","G1700310490100","Illinois","17031",2000,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"625","G1700310490200","Illinois","17031",2000,13,1,0,0,0,0,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"Cook"
"626","G1700310490300","Illinois","17031",2000,6,1,1,0,1,0,3,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"Cook"
"627","G1700310490400","Illinois","17031",2000,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Cook"
"628","G1700310490500","Illinois","17031",2000,6,9,1,1,0,1,6,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,"Cook"
"629","G1700310490600","Illinois","17031",2000,12,2,6,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"630","G1700310490700","Illinois","17031",2000,6,2,2,0,0,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"Cook"
"631","G1700310490800","Illinois","17031",2000,8,1,3,0,0,0,19,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,"Cook"
"632","G1700310490900","Illinois","17031",2000,41,13,1,0,1,0,16,72,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,"Cook"
"633","G1700310491000","Illinois","17031",2000,14,12,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"634","G1700310491100","Illinois","17031",2000,23,7,0,0,0,0,7,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,"Cook"
"635","G1700310491200","Illinois","17031",2000,6,8,1,0,0,0,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"Cook"
"636","G1700310491300","Illinois","17031",2000,11,4,1,0,3,0,5,24,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"Cook"
"637","G1700310491400","Illinois","17031",2000,26,7,1,0,5,1,9,49,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,"Cook"
"638","G1700310500100","Illinois","17031",2000,12,11,1,0,0,1,4,29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,"Cook"
"639","G1700310500200","Illinois","17031",2000,49,5,0,0,0,0,4,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"Cook"
"640","G1700310500300","Illinois","17031",2000,620,23,1,0,22,0,42,708,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,"Cook"
"641","G1700310510100","Illinois","17031",2000,2515,93,1,0,27,8,183,2827,0,4,12,7,0,4,0,2,0,1,5,0,0,0,0,0,0,0,0,0,183,"Cook"
"642","G1700310510200","Illinois","17031",2000,401,15,2,0,5,0,31,454,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,"Cook"
"643","G1700310510300","Illinois","17031",2000,50,9,2,0,0,4,4,69,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,3,"Cook"
"644","G1700310510400","Illinois","17031",2000,16,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"645","G1700310510500","Illinois","17031",2000,1635,34,6,0,0,1,134,1810,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,130,"Cook"
