"","GISJOIN","STATE","state_county","YEAR","Mexican","Puerto Rican","Cuban","Dominican Republic","Central American","South American","Other Hispanic or Latino","Total Hispanic or Latino","Central American, Costa Rican","Central American, Guatemalan","Central American, Honduran","Central American, Nicaraguan","Central American, Panamian","Central American, Salvadoran","Central American, Other Central American","South American, Argentinean","South American, Bolivian","South American, Chilean","South American, Colombian","South American, Ecuadorian","South American, Paraguayan","South American, Peruvian","South American, Uruguayan","South American, Venezuelan","South American, Other South American","Other Hispanic or Latino, Spaniard","Other Hispanic or Latino, Spanish","Other Hispanic or Latino, Spanish American","Other Hispanic or Latino, All other Hispanic or Latino","county"
"34","G1700310031500","Illinois","17031",2000,1381,166,25,0,106,89,183,1950,5,68,15,6,5,4,3,2,0,0,15,67,0,0,0,3,2,2,6,0,175,"Cook"
"35","G1700310031600","Illinois","17031",2000,238,75,46,0,16,300,111,786,0,11,0,0,2,0,3,0,0,0,9,285,0,1,0,0,5,1,10,0,100,"Cook"
"36","G1700310031700","Illinois","17031",2000,1470,280,38,6,154,147,224,2319,0,109,22,0,2,14,7,9,0,5,15,105,0,9,0,2,2,1,12,0,211,"Cook"
"37","G1700310031800","Illinois","17031",2000,444,54,23,0,50,36,88,695,0,33,11,0,1,1,4,0,4,2,2,22,0,4,0,0,2,1,9,0,78,"Cook"
"38","G1700310031900","Illinois","17031",2000,423,112,9,4,85,35,90,758,1,65,7,0,1,6,5,0,4,0,8,19,0,3,0,1,0,2,6,0,82,"Cook"
"39","G1700310032000","Illinois","17031",2000,256,28,2,0,20,15,15,336,1,15,0,0,0,4,0,2,0,3,1,6,0,2,0,1,0,1,1,0,13,"Cook"
"40","G1700310032100","Illinois","17031",2000,1011,177,41,1,54,58,140,1482,3,38,1,2,4,5,1,5,2,1,10,29,0,7,0,4,0,8,14,0,118,"Cook"
"41","G1700310040100","Illinois","17031",2000,878,100,69,1,185,122,240,1595,2,132,4,3,0,28,16,4,0,15,57,23,1,15,0,1,6,3,21,1,215,"Cook"
"42","G1700310040200","Illinois","17031",2000,1764,462,116,4,346,447,504,3643,12,224,32,10,9,35,24,3,2,20,194,106,0,100,1,8,13,5,23,2,474,"Cook"
"43","G1700310040300","Illinois","17031",2000,213,63,28,2,22,110,69,507,0,7,0,5,0,10,0,3,1,8,37,38,1,19,0,0,3,0,6,0,63,"Cook"
