"","GISJOIN","STATE","COUNTY","state_county","YEAR","Mexican","Puerto Rican","Cuban","Guatemalan","Colombian","Ecuadorian","total_pop","total_his"
"1","G1700310010100","Illinois","Cook County","17031",2010,372,102,14,24,8,10,4854,616
"2","G1700310010201","Illinois","Cook County","17031",2010,1638,133,23,64,8,4,6450,2049
"3","G1700310010202","Illinois","Cook County","17031",2010,639,46,4,17,7,10,2818,789
"4","G1700310010300","Illinois","Cook County","17031",2010,825,89,22,36,14,15,6236,1169
"5","G1700310010400","Illinois","Cook County","17031",2010,262,64,31,14,17,19,5042,480
"6","G1700310010501","Illinois","Cook County","17031",2010,316,61,10,15,19,8,4091,506
"7","G1700310010502","Illinois","Cook County","17031",2010,189,46,13,14,14,2,3101,340
"8","G1700310010503","Illinois","Cook County","17031",2010,128,23,7,15,19,9,2290,245
"9","G1700310010600","Illinois","Cook County","17031",2010,794,90,34,38,25,13,6097,1153
"10","G1700310010701","Illinois","Cook County","17031",2010,1187,56,11,56,10,13,3864,1463
"11","G1700310010702","Illinois","Cook County","17031",2010,2074,70,18,36,17,11,5143,2423
"12","G1700310020100","Illinois","Cook County","17031",2010,678,71,18,47,17,15,3965,952
"13","G1700310020200","Illinois","Cook County","17031",2010,673,57,24,14,25,26,6676,943
"14","G1700310020301","Illinois","Cook County","17031",2010,173,14,12,8,11,13,4750,289
"15","G1700310020302","Illinois","Cook County","17031",2010,706,68,36,26,26,32,4650,952
"16","G1700310020400","Illinois","Cook County","17031",2010,748,57,9,33,33,9,4168,987
"17","G1700310020500","Illinois","Cook County","17031",2010,1064,106,30,57,74,48,6214,1528
"18","G1700310020601","Illinois","Cook County","17031",2010,747,43,32,50,27,23,6353,1010
"19","G1700310020602","Illinois","Cook County","17031",2010,855,72,21,42,10,16,4340,1139
"20","G1700310020701","Illinois","Cook County","17031",2010,86,50,17,15,15,10,1704,227
"21","G1700310020702","Illinois","Cook County","17031",2010,735,133,32,68,28,21,7194,1174
"22","G1700310020801","Illinois","Cook County","17031",2010,797,213,49,105,88,49,5458,1467
"23","G1700310020802","Illinois","Cook County","17031",2010,1320,116,32,70,53,47,6963,1773
"24","G1700310020901","Illinois","Cook County","17031",2010,1083,144,23,70,21,46,5221,1526
"25","G1700310020902","Illinois","Cook County","17031",2010,396,101,32,63,24,16,4286,734
"26","G1700310030101","Illinois","Cook County","17031",2010,337,43,23,9,21,21,3893,544
"27","G1700310030102","Illinois","Cook County","17031",2010,194,36,20,18,11,9,3204,347
"28","G1700310030103","Illinois","Cook County","17031",2010,107,15,16,8,8,2,1928,182
"29","G1700310030104","Illinois","Cook County","17031",2010,143,45,20,5,9,5,3681,282
"30","G1700310030200","Illinois","Cook County","17031",2010,427,87,31,51,15,23,5369,743
"31","G1700310030300","Illinois","Cook County","17031",2010,925,47,32,61,37,13,3322,1219
"32","G1700310030400","Illinois","Cook County","17031",2010,529,104,61,33,14,24,2684,852
"33","G1700310030500","Illinois","Cook County","17031",2010,1108,115,39,108,16,35,6395,1626
"34","G1700310030601","Illinois","Cook County","17031",2010,356,42,19,6,12,11,4012,521
"35","G1700310030603","Illinois","Cook County","17031",2010,331,28,15,18,11,0,2095,447
"36","G1700310030604","Illinois","Cook County","17031",2010,129,38,27,6,16,12,2976,275
"37","G1700310030701","Illinois","Cook County","17031",2010,201,33,5,7,2,1,1549,267
"38","G1700310030702","Illinois","Cook County","17031",2010,39,10,2,6,23,3,1630,124
"39","G1700310030703","Illinois","Cook County","17031",2010,219,46,17,16,9,11,2830,353
"40","G1700310030706","Illinois","Cook County","17031",2010,233,37,11,11,15,8,3599,387
"41","G1700310030800","Illinois","Cook County","17031",2010,312,23,35,20,10,16,4326,478
"42","G1700310030900","Illinois","Cook County","17031",2010,420,80,32,35,16,19,3028,671
"43","G1700310031000","Illinois","Cook County","17031",2010,488,87,25,77,24,40,3656,834
"44","G1700310031100","Illinois","Cook County","17031",2010,388,42,34,34,16,32,4402,643
"45","G1700310031200","Illinois","Cook County","17031",2010,585,74,16,20,7,62,5648,852
"46","G1700310031300","Illinois","Cook County","17031",2010,375,79,18,33,20,28,7076,685
"47","G1700310031400","Illinois","Cook County","17031",2010,158,68,23,8,25,5,5150,367
"48","G1700310031501","Illinois","Cook County","17031",2010,322,46,15,36,16,33,4083,515
"49","G1700310031502","Illinois","Cook County","17031",2010,291,91,17,76,11,34,4354,591
"50","G1700310031700","Illinois","Cook County","17031",2010,684,133,28,78,24,126,6570,1199
"51","G1700310031800","Illinois","Cook County","17031",2010,277,36,18,39,4,5,1820,423
"52","G1700310031900","Illinois","Cook County","17031",2010,122,80,10,36,19,18,2304,342
"53","G1700310032100","Illinois","Cook County","17031",2010,561,133,29,26,20,10,7052,898
"54","G1700310040100","Illinois","Cook County","17031",2010,693,94,29,90,52,21,3985,1064
"55","G1700310040201","Illinois","Cook County","17031",2010,763,162,45,71,52,70,6218,1375
"56","G1700310040202","Illinois","Cook County","17031",2010,698,197,65,86,93,43,7249,1398
"57","G1700310040300","Illinois","Cook County","17031",2010,202,60,21,27,58,26,3069,461
"58","G1700310040401","Illinois","Cook County","17031",2010,366,81,9,56,39,15,3092,655
"59","G1700310040402","Illinois","Cook County","17031",2010,498,75,26,93,23,36,4468,846
