"","GISJOIN","YEAR","STATE","COUNTY","state_county","Mexican","total_pop","total_his"
"1259","G1700310824602",1990,"Illinois","Cook","17031",138,5657,154
"1260","G1700310824701",1990,"Illinois","Cook","17031",131,4001,165
"1261","G1700310824702",1990,"Illinois","Cook","17031",210,5743,237
"1262","G17003108248",1990,"Illinois","Cook","17031",685,5814,726
"1263","G17003108249",1990,"Illinois","Cook","17031",56,2859,77
"1264","G17003108250",1990,"Illinois","Cook","17031",141,5041,165
"1265","G17003108251",1990,"Illinois","Cook","17031",33,903,44
"1266","G17003108252",1990,"Illinois","Cook","17031",54,1908,68
"1267","G1700310825301",1990,"Illinois","Cook","17031",63,3731,84
"1268","G1700310825302",1990,"Illinois","Cook","17031",60,4974,79
"1269","G17003108254",1990,"Illinois","Cook","17031",76,4898,100
"1270","G1700310825501",1990,"Illinois","Cook","17031",114,5933,165
"1271","G1700310825503",1990,"Illinois","Cook","17031",94,6522,146
"1272","G1700310825504",1990,"Illinois","Cook","17031",57,4313,114
"1273","G1700310825505",1990,"Illinois","Cook","17031",45,4969,102
"1274","G17003108256",1990,"Illinois","Cook","17031",87,6022,98
"1275","G17003108257",1990,"Illinois","Cook","17031",518,3916,557
"1276","G1700310825801",1990,"Illinois","Cook","17031",137,4197,170
"1277","G1700310825802",1990,"Illinois","Cook","17031",540,5723,634
"1278","G1700310825803",1990,"Illinois","Cook","17031",168,5565,215
"1279","G17003108259",1990,"Illinois","Cook","17031",264,3255,303
"1280","G17003108260",1990,"Illinois","Cook","17031",286,3667,357
"1281","G17003108261",1990,"Illinois","Cook","17031",320,6312,362
"1282","G1700310826201",1990,"Illinois","Cook","17031",105,3913,131
"1283","G1700310826202",1990,"Illinois","Cook","17031",242,6068,303
"1284","G1700310826301",1990,"Illinois","Cook","17031",67,3830,94
"1285","G1700310826303",1990,"Illinois","Cook","17031",133,3971,156
"1286","G1700310826304",1990,"Illinois","Cook","17031",77,3511,99
"1287","G1700310826401",1990,"Illinois","Cook","17031",177,4021,216
"1288","G1700310826402",1990,"Illinois","Cook","17031",223,5529,282
"1289","G17003108265",1990,"Illinois","Cook","17031",223,6172,282
"1290","G17003108266",1990,"Illinois","Cook","17031",147,5168,204
"1291","G17003108267",1990,"Illinois","Cook","17031",99,5695,129
"1292","G17003108268",1990,"Illinois","Cook","17031",497,5181,544
"1293","G1700310826901",1990,"Illinois","Cook","17031",26,2764,34
"1294","G1700310826902",1990,"Illinois","Cook","17031",15,2245,18
"1295","G17003108270",1990,"Illinois","Cook","17031",40,4136,65
"1296","G17003108271",1990,"Illinois","Cook","17031",98,3266,120
"1297","G17003108272",1990,"Illinois","Cook","17031",194,4138,216
"1298","G17003108273",1990,"Illinois","Cook","17031",395,4159,408
"1299","G17003108274",1990,"Illinois","Cook","17031",63,5463,70
"1300","G17003108275",1990,"Illinois","Cook","17031",615,5746,676
"1301","G17003108276",1990,"Illinois","Cook","17031",8,3978,18
"1302","G17003108277",1990,"Illinois","Cook","17031",130,3033,165
"1303","G1700310827801",1990,"Illinois","Cook","17031",66,5081,89
"1304","G1700310827802",1990,"Illinois","Cook","17031",68,3415,79
"1305","G1700310827804",1990,"Illinois","Cook","17031",57,3340,76
"1306","G1700310827805",1990,"Illinois","Cook","17031",41,3286,50
"1307","G1700310827901",1990,"Illinois","Cook","17031",31,2302,51
"1308","G1700310827902",1990,"Illinois","Cook","17031",148,4607,166
"1309","G17003108280",1990,"Illinois","Cook","17031",135,5229,145
"1310","G17003108281",1990,"Illinois","Cook","17031",101,4804,120
"1311","G1700310828201",1990,"Illinois","Cook","17031",91,3925,109
"1312","G1700310828202",1990,"Illinois","Cook","17031",106,4481,120
"1313","G17003108283",1990,"Illinois","Cook","17031",75,3672,96
"1314","G1700310828401",1990,"Illinois","Cook","17031",47,3603,70
"1315","G1700310828402",1990,"Illinois","Cook","17031",100,3529,116
"1316","G1700310828503",1990,"Illinois","Cook","17031",414,5277,469
"1317","G1700310828504",1990,"Illinois","Cook","17031",515,5979,559
"1318","G1700310828505",1990,"Illinois","Cook","17031",130,6271,154
"1319","G1700310828506",1990,"Illinois","Cook","17031",228,7224,304
"1320","G1700310828601",1990,"Illinois","Cook","17031",33,4197,50
"1321","G1700310828602",1990,"Illinois","Cook","17031",54,5012,63
"1322","G1700310828701",1990,"Illinois","Cook","17031",81,3917,119
"1323","G1700310828702",1990,"Illinois","Cook","17031",184,5518,214
"1324","G1700310828801",1990,"Illinois","Cook","17031",106,5093,134
"1325","G1700310828802",1990,"Illinois","Cook","17031",142,3300,163
"1326","G17003108289",1990,"Illinois","Cook","17031",780,3456,857
"1327","G17003108290",1990,"Illinois","Cook","17031",55,3388,78
