"","race_ethnicity","graduates","graduates_se","eligible_students","eligible_students_se","graduation_rate"
"1","Black (non-Hispanic or Latino)",3114,398.65195113076,34244,1411.7395491233,9.09356383600047
"2","Mexican",5323,548.1522524314,36243,1435.15727059582,14.6869740363656
"3","Other (non-Hispanic or Latino)",1693,254.717901224224,6551,506.562734594788,25.8433826896657
"4","Other Hispanic/Latino",1305,216.204923561912,9483,640.294423721215,13.7614678899083
"5","White (non-Hispanic or Latino)",2424,355.813104993526,12654,743.055166168231,19.1559981033665
