"","race_ethnicity","college_attendees","college_attendees_se","total_students","total_students_se","percentage_college_students_18_24"
"1","Black (non-Hispanic or Latino)",18366,1013.53141450707,72703,2129.55987703617,25.2616810860625
"2","Mexican",25854,1111.92857407514,71924,1983.45708019134,35.9462766253267
"3","Other (non-Hispanic or Latino)",17368,898.123336453002,28641,1141.13632607756,60.6403407702245
"4","Other Hispanic/Latino",8128,730.275224113655,21173,1053.70333707323,38.3885136730742
"5","White (non-Hispanic or Latino)",37168,1090.3747539116,75048,1737.13154998139,49.5256369257009
