"","race_ethnicity","avg_hhincome","avg_hhincome_se","weighted_median_hhincome"
"1","Black (non-Hispanic or Latino)",313964.946226285,7763.17831554319,62037.0000000605
"2","Mexican",163926.029872431,5559.60850399491,82672
"3","Other (non-Hispanic or Latino)",326605.441715913,10699.3084491803,113099
"4","Other Hispanic/Latino",199582.654253694,8527.35997960521,86917.4999999509
"5","White (non-Hispanic or Latino)",438488.271924638,7101.8137355852,142600
