"","GISJOIN","STATE","state_county","YEAR","Total Hispanic or Latino","Mexican","Puerto Rican","Cuban","Dominican Republic","Central American","Central American, Costa Rican","Central American, Guatemalan","Central American, Honduran","Central American, Nicaraguan","Central American, Panamian","Central American, Salvadoran","Central American, Other Central American","South American","South American, Argentinean","South American, Bolivian","South American, Chilean","South American, Colombian","South American, Ecuadorian","South American, Paraguayan","South American, Peruvian","South American, Uruguayan","South American, Venezuelan","South American, Other South American","Other Hispanic or Latino","Other Hispanic or Latino, Spaniard","Other Hispanic or Latino, Spanish","Other Hispanic or Latino, Spanish American","Other Hispanic or Latino, All other Hispanic or Latino","county"
"428","G1700310410700","Illinois","17031",2010,172,82,19,11,3,11,3,0,1,0,2,5,0,32,9,0,7,7,1,0,2,0,3,3,14,8,2,0,4,"Cook"
"429","G1700310410800","Illinois","17031",2010,181,108,16,4,2,7,0,1,1,1,2,2,0,32,5,1,5,13,2,0,3,3,0,0,12,5,3,0,4,"Cook"
"430","G1700310410900","Illinois","17031",2010,212,114,21,7,3,25,0,5,1,3,5,11,0,24,5,1,1,11,0,0,4,0,2,0,18,3,4,0,11,"Cook"
"431","G1700310411000","Illinois","17031",2010,213,106,22,18,3,13,2,3,0,3,4,1,0,33,3,3,1,13,2,1,5,2,3,0,18,8,4,0,6,"Cook"
"432","G1700310411100","Illinois","17031",2010,112,44,3,2,0,14,0,3,0,3,1,4,3,27,6,0,1,4,3,0,8,0,5,0,22,19,0,0,3,"Cook"
"433","G1700310411200","Illinois","17031",2010,59,25,3,2,0,2,0,2,0,0,0,0,0,21,7,0,3,4,0,0,6,0,1,0,6,5,0,0,1,"Cook"
"434","G1700310420100","Illinois","17031",2010,13,6,1,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,"Cook"
"435","G1700310420200","Illinois","17031",2010,42,15,3,1,5,6,1,0,4,0,1,0,0,3,1,0,1,0,0,0,1,0,0,0,9,4,0,0,5,"Cook"
"436","G1700310420300","Illinois","17031",2010,169,71,11,16,11,12,1,5,0,2,2,2,0,28,4,1,2,8,3,0,7,1,2,0,20,5,5,0,10,"Cook"
"437","G1700310420400","Illinois","17031",2010,38,14,9,3,2,2,1,1,0,0,0,0,0,4,1,0,0,1,0,0,0,0,2,0,4,3,0,0,1,"Cook"
"438","G1700310420500","Illinois","17031",2010,32,13,10,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,6,"Cook"
"439","G1700310420600","Illinois","17031",2010,19,6,1,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,2,0,0,0,2,"Cook"
"440","G1700310420700","Illinois","17031",2010,38,12,11,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,4,0,1,0,3,"Cook"
"441","G1700310420800","Illinois","17031",2010,26,14,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,"Cook"
"442","G1700310421200","Illinois","17031",2010,15,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,2,0,0,0,2,"Cook"
"443","G1700310430101","Illinois","17031",2010,29,16,7,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,"Cook"
"444","G1700310430102","Illinois","17031",2010,50,15,14,3,1,5,1,0,0,0,4,0,0,4,1,0,0,3,0,0,0,0,0,0,8,0,1,0,7,"Cook"
"445","G1700310430200","Illinois","17031",2010,96,43,34,5,3,1,0,0,0,0,1,0,0,8,0,0,0,6,1,0,1,0,0,0,2,1,0,0,1,"Cook"
"446","G1700310430300","Illinois","17031",2010,46,7,26,7,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,3,2,0,0,1,"Cook"
"447","G1700310430400","Illinois","17031",2010,42,26,12,1,0,1,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Cook"
"448","G1700310430500","Illinois","17031",2010,50,14,24,1,0,6,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,"Cook"
"449","G1700310430600","Illinois","17031",2010,26,1,12,0,0,4,0,0,3,0,1,0,0,8,0,0,0,0,1,0,1,0,6,0,1,1,0,0,0,"Cook"
"450","G1700310430700","Illinois","17031",2010,71,41,19,3,0,1,0,0,0,0,0,1,0,3,0,0,0,3,0,0,0,0,0,0,4,3,0,0,1,"Cook"
"451","G1700310430800","Illinois","17031",2010,31,6,11,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,"Cook"
"452","G1700310430900","Illinois","17031",2010,33,14,7,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,"Cook"
"453","G1700310431200","Illinois","17031",2010,61,25,12,1,7,4,1,0,1,0,1,0,1,5,0,0,0,5,0,0,0,0,0,0,7,0,0,0,7,"Cook"
"454","G1700310431301","Illinois","17031",2010,69,49,12,4,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,"Cook"
"455","G1700310431302","Illinois","17031",2010,60,41,15,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"Cook"
"456","G1700310431400","Illinois","17031",2010,97,55,16,10,1,4,0,0,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,10,0,1,0,9,"Cook"
"457","G1700310440101","Illinois","17031",2010,46,29,12,1,1,1,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Cook"
"458","G1700310440102","Illinois","17031",2010,26,15,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,"Cook"
"459","G1700310440201","Illinois","17031",2010,56,16,19,8,1,8,0,1,3,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,1,0,2,"Cook"
"460","G1700310440202","Illinois","17031",2010,23,7,8,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,"Cook"
"461","G1700310440300","Illinois","17031",2010,52,21,12,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,10,1,1,0,8,"Cook"
"462","G1700310440600","Illinois","17031",2010,24,16,6,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Cook"
"463","G1700310440700","Illinois","17031",2010,7,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,2,0,1,0,1,"Cook"
"464","G1700310440800","Illinois","17031",2010,19,11,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"465","G1700310440900","Illinois","17031",2010,18,5,2,2,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,4,"Cook"
"466","G1700310450300","Illinois","17031",2010,56,25,28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,"Cook"
"467","G1700310460100","Illinois","17031",2010,673,561,47,8,1,10,0,2,5,0,0,3,0,4,0,0,0,3,0,0,1,0,0,0,42,3,1,2,36,"Cook"
"468","G1700310460200","Illinois","17031",2010,1184,925,100,3,0,28,0,4,16,2,0,6,0,6,0,0,0,0,2,0,4,0,0,0,122,1,20,0,101,"Cook"
"469","G1700310460301","Illinois","17031",2010,966,865,60,3,0,10,0,6,0,0,1,3,0,1,0,0,0,0,0,0,0,0,1,0,27,2,4,0,21,"Cook"
"470","G1700310460302","Illinois","17031",2010,267,228,31,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,"Cook"
"471","G1700310460400","Illinois","17031",2010,84,51,19,1,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,4,"Cook"
"472","G1700310460500","Illinois","17031",2010,70,26,19,5,6,7,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,2,"Cook"
"473","G1700310460600","Illinois","17031",2010,243,211,14,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11,"Cook"
"474","G1700310460700","Illinois","17031",2010,1488,1287,70,1,2,36,0,16,6,0,1,13,0,3,0,0,0,1,0,0,0,2,0,0,89,0,0,0,89,"Cook"
"475","G1700310461000","Illinois","17031",2010,520,425,76,6,0,5,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,7,0,0,0,7,"Cook"
"476","G1700310470100","Illinois","17031",2010,20,7,11,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"477","G1700310480100","Illinois","17031",2010,19,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,"Cook"
"478","G1700310480200","Illinois","17031",2010,19,5,4,1,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,5,0,1,0,0,0,1,"Cook"
"479","G1700310480300","Illinois","17031",2010,22,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,1,"Cook"
"480","G1700310480400","Illinois","17031",2010,91,45,14,14,0,13,4,0,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,"Cook"
"481","G1700310480500","Illinois","17031",2010,418,318,70,2,1,13,2,2,0,0,2,5,2,1,0,0,0,0,0,0,1,0,0,0,13,3,0,0,10,"Cook"
"482","G1700310490300","Illinois","17031",2010,11,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"Cook"
"483","G1700310490400","Illinois","17031",2010,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"484","G1700310490500","Illinois","17031",2010,22,5,10,0,0,3,0,0,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,3,"Cook"
"485","G1700310490600","Illinois","17031",2010,22,7,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"486","G1700310490700","Illinois","17031",2010,26,13,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"Cook"
"487","G1700310490800","Illinois","17031",2010,40,16,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,6,0,2,"Cook"
"488","G1700310490901","Illinois","17031",2010,34,15,10,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,"Cook"
"489","G1700310490902","Illinois","17031",2010,38,14,14,0,0,4,0,0,0,0,4,0,0,2,0,0,0,1,0,0,0,0,1,0,4,0,0,0,4,"Cook"
"490","G1700310491000","Illinois","17031",2010,51,30,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0,8,"Cook"
"491","G1700310491100","Illinois","17031",2010,43,17,16,4,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"Cook"
"492","G1700310491200","Illinois","17031",2010,36,17,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,6,0,0,0,6,"Cook"
"493","G1700310491300","Illinois","17031",2010,39,28,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"494","G1700310491400","Illinois","17031",2010,40,11,7,1,0,6,1,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,"Cook"
"495","G1700310500100","Illinois","17031",2010,36,8,7,5,0,7,0,0,0,0,7,0,0,1,0,0,0,0,1,0,0,0,0,0,8,0,1,0,7,"Cook"
"496","G1700310500200","Illinois","17031",2010,38,25,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"497","G1700310500300","Illinois","17031",2010,497,423,29,2,0,22,0,21,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,19,1,6,0,12,"Cook"
"498","G1700310510100","Illinois","17031",2010,2848,2582,141,1,0,32,0,9,9,2,0,12,0,8,0,0,0,2,4,0,2,0,0,0,84,3,5,0,76,"Cook"
"499","G1700310510200","Illinois","17031",2010,575,535,26,3,1,4,0,1,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,5,0,1,1,3,"Cook"
"500","G1700310510300","Illinois","17031",2010,55,35,13,4,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"Cook"
"501","G1700310520100","Illinois","17031",2010,1741,1590,79,5,0,43,0,8,23,0,0,12,0,2,0,0,0,0,0,0,2,0,0,0,22,0,0,0,22,"Cook"
"502","G1700310520200","Illinois","17031",2010,3122,2928,118,3,0,35,0,5,12,0,1,17,0,1,0,0,0,0,1,0,0,0,0,0,37,3,0,0,34,"Cook"
"503","G1700310520300","Illinois","17031",2010,5302,4915,214,6,0,53,0,13,10,1,0,29,0,35,7,0,2,8,4,0,9,0,5,0,79,3,0,0,76,"Cook"
"504","G1700310520400","Illinois","17031",2010,3309,3050,131,5,0,58,0,6,9,2,3,38,0,23,2,0,2,3,1,0,15,0,0,0,42,4,0,0,38,"Cook"
"505","G1700310520500","Illinois","17031",2010,2729,2500,156,1,0,27,0,15,4,0,1,7,0,11,3,0,0,0,2,0,5,0,1,0,34,4,0,0,30,"Cook"
"506","G1700310520600","Illinois","17031",2010,1873,1689,132,3,1,15,0,3,6,0,0,6,0,12,1,0,0,9,2,0,0,0,0,0,21,1,0,0,20,"Cook"
"507","G1700310530100","Illinois","17031",2010,1136,1089,14,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,2,0,21,"Cook"
"508","G1700310530200","Illinois","17031",2010,67,49,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,"Cook"
"509","G1700310530300","Illinois","17031",2010,58,43,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,"Cook"
"510","G1700310530400","Illinois","17031",2010,60,40,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,"Cook"
"511","G1700310530501","Illinois","17031",2010,70,40,11,1,4,8,0,0,4,0,4,0,0,2,0,0,0,2,0,0,0,0,0,0,4,0,0,0,4,"Cook"
"512","G1700310530502","Illinois","17031",2010,19,3,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,"Cook"
"513","G1700310530503","Illinois","17031",2010,57,26,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,"Cook"
"514","G1700310530600","Illinois","17031",2010,42,17,14,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,7,"Cook"
"515","G1700310540101","Illinois","17031",2010,112,94,15,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"516","G1700310540102","Illinois","17031",2010,20,6,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,6,"Cook"
"517","G1700310550100","Illinois","17031",2010,3362,2984,242,7,4,39,1,17,4,2,1,14,0,20,0,0,0,0,5,0,14,0,1,0,66,1,4,0,61,"Cook"
"518","G1700310550200","Illinois","17031",2010,1309,1171,71,0,0,30,0,8,12,0,1,9,0,9,2,0,0,1,0,0,0,0,0,6,28,3,3,0,22,"Cook"
"519","G1700310560100","Illinois","17031",2010,940,840,53,6,0,13,0,11,1,1,0,0,0,12,0,0,0,10,2,0,0,0,0,0,16,0,1,0,15,"Cook"
"520","G1700310560200","Illinois","17031",2010,214,173,28,0,5,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"Cook"
"521","G1700310560300","Illinois","17031",2010,1966,1747,131,3,0,23,0,15,1,0,0,7,0,32,0,0,0,12,16,0,3,0,1,0,30,0,4,0,26,"Cook"
"522","G1700310560400","Illinois","17031",2010,1053,993,21,4,0,13,0,3,5,0,0,5,0,8,0,0,0,1,6,0,1,0,0,0,14,0,0,0,14,"Cook"
"523","G1700310560700","Illinois","17031",2010,1753,1545,147,8,0,8,0,4,4,0,0,0,0,19,0,0,0,2,16,0,0,0,1,0,26,4,1,0,21,"Cook"
"524","G1700310560800","Illinois","17031",2010,1898,1641,127,15,1,44,0,23,5,15,0,0,1,40,3,4,4,14,12,0,0,0,0,3,30,8,2,0,20,"Cook"
"525","G1700310560900","Illinois","17031",2010,1387,1243,88,10,0,10,0,8,2,0,0,0,0,18,3,1,0,6,7,0,0,0,1,0,18,3,0,0,15,"Cook"
"526","G1700310561000","Illinois","17031",2010,1273,1136,70,4,0,7,0,2,3,1,0,1,0,25,2,0,3,8,8,0,4,0,0,0,31,1,6,0,24,"Cook"
"527","G1700310561100","Illinois","17031",2010,1958,1783,102,10,0,17,1,8,5,2,1,0,0,26,10,0,0,0,7,0,9,0,0,0,20,12,1,0,7,"Cook"
"528","G1700310570100","Illinois","17031",2010,916,853,28,3,0,16,0,15,0,0,0,1,0,11,0,0,0,5,6,0,0,0,0,0,5,1,0,0,4,"Cook"
"529","G1700310570200","Illinois","17031",2010,1459,1333,45,1,0,28,0,10,5,5,0,8,0,3,0,0,0,0,3,0,0,0,0,0,49,6,0,0,43,"Cook"
"530","G1700310570300","Illinois","17031",2010,4835,4424,157,1,3,77,0,53,15,0,0,9,0,46,0,0,0,7,29,0,8,0,2,0,127,6,4,0,117,"Cook"
"531","G1700310570400","Illinois","17031",2010,1225,1132,42,0,0,18,0,15,0,3,0,0,0,5,0,0,0,0,2,0,3,0,0,0,28,1,0,0,27,"Cook"
"532","G1700310570500","Illinois","17031",2010,1747,1577,68,4,0,34,0,26,5,2,0,1,0,29,0,0,0,9,16,0,0,4,0,0,35,2,0,0,33,"Cook"
"533","G1700310580100","Illinois","17031",2010,2229,2064,67,0,0,26,0,9,6,1,0,9,1,16,0,2,3,4,6,0,1,0,0,0,56,4,0,0,52,"Cook"
"534","G1700310580200","Illinois","17031",2010,2900,2668,87,6,2,43,0,26,7,3,0,7,0,42,0,0,1,8,32,0,1,0,0,0,52,3,3,0,46,"Cook"
"535","G1700310580300","Illinois","17031",2010,2095,1968,54,0,0,36,0,16,10,0,1,9,0,5,0,0,0,0,4,0,1,0,0,0,32,0,0,0,32,"Cook"
"536","G1700310580400","Illinois","17031",2010,3926,3654,99,18,12,42,0,22,3,0,0,16,1,52,0,2,0,7,36,0,7,0,0,0,49,9,1,0,39,"Cook"
"537","G1700310580501","Illinois","17031",2010,4360,4056,153,3,4,54,0,27,4,9,0,14,0,37,3,0,0,3,24,0,3,1,3,0,53,1,3,0,49,"Cook"
"538","G1700310580502","Illinois","17031",2010,4566,4268,91,3,0,53,0,19,8,16,0,10,0,28,5,0,1,11,3,0,6,1,1,0,123,5,1,0,117,"Cook"
"539","G1700310580600","Illinois","17031",2010,4778,4565,107,9,0,39,0,11,10,15,2,1,0,15,0,1,0,7,5,0,1,0,1,0,43,3,1,0,39,"Cook"
"540","G1700310580700","Illinois","17031",2010,5217,4867,180,1,6,59,0,35,4,7,3,10,0,36,2,0,0,10,18,0,6,0,0,0,68,4,0,0,64,"Cook"
"541","G1700310580800","Illinois","17031",2010,1923,1826,31,1,1,23,0,12,4,0,3,4,0,9,0,0,0,0,9,0,0,0,0,0,32,4,0,0,28,"Cook"
"542","G1700310590500","Illinois","17031",2010,1001,927,40,8,0,6,0,3,0,2,0,1,0,6,0,0,0,3,1,0,2,0,0,0,14,1,2,0,11,"Cook"
"543","G1700310590600","Illinois","17031",2010,2667,2384,121,4,2,36,0,8,4,13,0,11,0,39,1,0,2,3,28,0,5,0,0,0,81,13,0,7,61,"Cook"
"544","G1700310590700","Illinois","17031",2010,2333,2136,99,1,1,36,0,20,5,7,0,4,0,15,0,0,0,0,11,0,0,0,4,0,45,3,4,0,38,"Cook"
"545","G1700310600400","Illinois","17031",2010,612,517,41,0,1,25,2,19,0,0,1,0,3,10,0,0,0,1,9,0,0,0,0,0,18,1,0,0,17,"Cook"
"546","G1700310600600","Illinois","17031",2010,1051,944,55,4,5,7,0,7,0,0,0,0,0,13,0,0,3,0,8,0,2,0,0,0,23,4,1,0,18,"Cook"
"547","G1700310600700","Illinois","17031",2010,719,650,44,1,0,6,0,6,0,0,0,0,0,16,3,0,0,3,9,1,0,0,0,0,2,2,0,0,0,"Cook"
"548","G1700310600900","Illinois","17031",2010,1249,1067,93,7,2,24,0,7,15,0,0,2,0,12,0,0,0,5,7,0,0,0,0,0,44,5,2,0,37,"Cook"
"549","G1700310610300","Illinois","17031",2010,4960,4466,135,1,7,82,2,35,22,7,3,13,0,9,1,0,0,1,5,0,2,0,0,0,260,14,0,0,246,"Cook"
"550","G1700310610400","Illinois","17031",2010,2109,1944,43,1,1,31,0,14,12,3,1,1,0,8,3,0,0,0,1,0,1,3,0,0,81,11,0,0,70,"Cook"
"551","G1700310610800","Illinois","17031",2010,227,184,28,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,13,2,0,0,11,"Cook"
"552","G1700310611000","Illinois","17031",2010,257,231,4,0,0,11,0,1,10,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,10,0,0,0,10,"Cook"
"553","G1700310611100","Illinois","17031",2010,2227,2009,93,1,0,52,0,26,20,0,0,6,0,1,0,0,0,0,0,1,0,0,0,0,71,6,5,0,60,"Cook"
"554","G1700310611200","Illinois","17031",2010,1997,1802,86,6,4,59,0,24,18,0,0,17,0,17,1,1,0,0,7,0,0,0,8,0,23,3,0,0,20,"Cook"
"555","G1700310611300","Illinois","17031",2010,2943,2679,93,8,2,87,0,40,22,15,2,8,0,6,0,0,0,1,3,0,2,0,0,0,68,8,0,0,60,"Cook"
"556","G1700310611400","Illinois","17031",2010,3670,3407,64,1,6,85,0,51,20,4,0,10,0,6,0,0,1,4,0,0,0,0,1,0,101,4,0,0,97,"Cook"
"557","G1700310611500","Illinois","17031",2010,3002,2751,68,2,2,84,12,51,10,5,0,6,0,2,1,0,0,0,1,0,0,0,0,0,93,3,7,0,83,"Cook"
"558","G1700310611600","Illinois","17031",2010,516,477,22,2,0,6,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,8,"Cook"
"559","G1700310611700","Illinois","17031",2010,698,633,35,7,0,7,0,7,0,0,0,0,0,4,0,0,0,2,2,0,0,0,0,0,12,0,0,0,12,"Cook"
"560","G1700310611800","Illinois","17031",2010,497,412,76,4,0,3,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,"Cook"
"561","G1700310611900","Illinois","17031",2010,295,267,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,"Cook"
"562","G1700310612000","Illinois","17031",2010,78,66,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Cook"
"563","G1700310612100","Illinois","17031",2010,51,26,17,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,"Cook"
"564","G1700310620100","Illinois","17031",2010,3568,3392,78,4,0,35,0,20,2,1,1,11,0,28,0,0,3,6,16,0,3,0,0,0,31,2,0,0,29,"Cook"
"565","G1700310620200","Illinois","17031",2010,1515,1331,88,1,9,18,0,8,7,1,0,2,0,27,2,0,0,1,24,0,0,0,0,0,41,1,0,4,36,"Cook"
"566","G1700310620300","Illinois","17031",2010,4651,4217,204,6,5,100,0,75,6,2,0,17,0,57,1,1,0,13,22,0,13,4,3,0,62,7,1,0,54,"Cook"
"567","G1700310620400","Illinois","17031",2010,4580,4328,111,0,3,78,0,63,5,6,0,4,0,20,1,1,2,5,9,0,2,0,0,0,40,1,0,0,39,"Cook"
"568","G1700310630100","Illinois","17031",2010,852,749,44,1,2,25,0,11,8,0,0,6,0,8,0,0,0,0,6,0,1,0,0,1,23,0,0,0,23,"Cook"
"569","G1700310630200","Illinois","17031",2010,1715,1609,65,1,0,14,0,6,4,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,25,3,1,0,21,"Cook"
"570","G1700310630300","Illinois","17031",2010,5182,4945,60,6,0,64,0,35,15,8,0,6,0,47,0,0,1,6,35,0,5,0,0,0,60,4,0,0,56,"Cook"
"571","G1700310630400","Illinois","17031",2010,6635,6271,132,3,3,82,0,51,16,2,0,13,0,56,0,1,0,10,41,0,4,0,0,0,88,13,2,0,73,"Cook"
"572","G1700310630500","Illinois","17031",2010,5896,5569,161,2,4,54,0,26,13,3,0,12,0,33,2,0,0,7,19,0,5,0,0,0,73,9,0,0,64,"Cook"
"573","G1700310630800","Illinois","17031",2010,6337,5974,136,10,4,93,0,40,30,7,0,16,0,59,0,0,2,17,29,0,8,2,1,0,61,4,3,0,54,"Cook"
"574","G1700310630900","Illinois","17031",2010,4875,4569,138,3,2,88,0,58,17,8,1,4,0,20,2,1,0,1,10,0,6,0,0,0,55,2,2,0,51,"Cook"
"575","G1700310640100","Illinois","17031",2010,753,597,71,6,0,20,0,10,7,2,0,1,0,29,0,0,0,18,2,0,1,7,0,1,30,0,0,0,30,"Cook"
"576","G1700310640300","Illinois","17031",2010,2907,2443,224,21,2,35,0,19,2,3,0,11,0,66,2,5,1,22,11,0,20,5,0,0,116,11,3,0,102,"Cook"
"577","G1700310640400","Illinois","17031",2010,1011,850,115,5,0,3,0,1,1,0,0,1,0,16,0,1,0,1,12,0,2,0,0,0,22,1,12,0,9,"Cook"
"578","G1700310640500","Illinois","17031",2010,1170,917,131,1,2,6,0,1,1,1,0,3,0,11,3,0,0,3,3,0,0,2,0,0,102,1,0,0,101,"Cook"
"579","G1700310640600","Illinois","17031",2010,1600,1272,149,8,0,27,0,14,11,1,0,1,0,16,1,0,0,0,12,0,0,1,1,1,128,0,19,0,109,"Cook"
"580","G1700310640700","Illinois","17031",2010,1760,1429,148,5,0,33,0,15,3,2,3,10,0,32,1,1,0,9,16,0,2,0,3,0,113,1,1,0,111,"Cook"
"581","G1700310640800","Illinois","17031",2010,1283,1066,65,0,1,20,0,15,3,0,2,0,0,37,0,0,1,9,24,0,3,0,0,0,94,0,0,0,94,"Cook"
"582","G1700310650100","Illinois","17031",2010,4075,3767,147,9,3,73,0,46,9,1,0,17,0,25,1,2,0,14,7,0,0,0,1,0,51,2,4,0,45,"Cook"
"583","G1700310650200","Illinois","17031",2010,5641,5161,222,14,3,63,1,36,5,3,1,9,8,93,3,0,3,24,51,0,5,1,6,0,85,10,6,0,69,"Cook"
"584","G1700310650301","Illinois","17031",2010,4504,4118,180,3,4,56,5,27,7,10,0,7,0,53,2,0,0,22,29,0,0,0,0,0,90,8,2,0,80,"Cook"
"585","G1700310650302","Illinois","17031",2010,3708,3507,118,3,2,39,4,23,2,2,1,6,1,23,0,0,1,7,13,0,2,0,0,0,16,0,0,0,16,"Cook"
"586","G1700310650400","Illinois","17031",2010,5692,5334,182,1,3,83,0,44,9,12,3,15,0,32,0,2,0,11,13,0,5,0,1,0,57,1,0,0,56,"Cook"
