"","GISJOIN","STATE","state_county","YEAR","Total Hispanic or Latino","Mexican","Puerto Rican","Cuban","Dominican Republic","Central American","Central American, Costa Rican","Central American, Guatemalan","Central American, Honduran","Central American, Nicaraguan","Central American, Panamian","Central American, Salvadoran","Central American, Other Central American","South American","South American, Argentinean","South American, Bolivian","South American, Chilean","South American, Colombian","South American, Ecuadorian","South American, Paraguayan","South American, Peruvian","South American, Uruguayan","South American, Venezuelan","South American, Other South American","Other Hispanic or Latino","Other Hispanic or Latino, Spaniard","Other Hispanic or Latino, Spanish","Other Hispanic or Latino, Spanish American","Other Hispanic or Latino, All other Hispanic or Latino","county"
"159","G1700310110502","Illinois","17031",2010,650,288,181,21,7,56,0,41,5,0,2,8,0,76,7,1,0,20,25,0,20,0,1,2,21,4,3,0,14,"Cook"
"160","G1700310120100","Illinois","17031",2010,295,129,62,29,5,5,0,5,0,0,0,0,0,48,7,4,1,26,6,0,1,0,3,0,17,10,1,0,6,"Cook"
"161","G1700310120200","Illinois","17031",2010,354,164,64,35,4,7,0,7,0,0,0,0,0,64,6,2,2,34,11,0,7,0,2,0,16,8,2,0,6,"Cook"
"162","G1700310120300","Illinois","17031",2010,623,293,97,52,7,35,2,26,2,2,0,3,0,107,1,9,6,31,25,0,26,2,7,0,32,19,1,0,12,"Cook"
"163","G1700310120400","Illinois","17031",2010,854,452,160,11,0,83,4,54,16,1,0,8,0,102,6,0,0,17,52,0,20,0,7,0,46,5,7,2,32,"Cook"
"164","G1700310130100","Illinois","17031",2010,352,138,71,20,7,35,4,11,5,12,0,3,0,57,6,0,3,24,19,0,4,0,0,1,24,7,3,0,14,"Cook"
"165","G1700310130200","Illinois","17031",2010,317,181,67,3,0,16,3,8,4,0,1,0,0,29,0,0,0,11,13,0,5,0,0,0,21,2,5,0,14,"Cook"
"166","G1700310130300","Illinois","17031",2010,1098,527,159,29,10,110,7,58,12,3,2,27,1,182,8,2,5,97,47,0,16,3,4,0,81,12,6,0,63,"Cook"
"167","G1700310140100","Illinois","17031",2010,1860,1335,115,13,3,158,1,122,12,1,4,18,0,152,0,0,0,15,123,0,14,0,0,0,84,5,24,0,55,"Cook"
"168","G1700310140200","Illinois","17031",2010,2654,1699,136,16,4,227,12,175,17,7,0,16,0,424,2,3,3,32,344,0,25,1,7,7,148,20,7,0,121,"Cook"
"169","G1700310140301","Illinois","17031",2010,1571,1063,68,13,1,144,1,122,6,0,1,14,0,198,0,4,3,31,145,0,14,0,1,0,84,2,0,1,81,"Cook"
"170","G1700310140302","Illinois","17031",2010,1698,967,216,53,16,155,2,114,12,4,2,21,0,225,1,2,1,57,122,0,35,0,1,6,66,6,0,0,60,"Cook"
"171","G1700310140400","Illinois","17031",2010,2216,1303,272,61,2,236,1,193,11,2,2,27,0,253,2,1,4,62,116,0,58,0,5,5,89,6,4,0,79,"Cook"
"172","G1700310140500","Illinois","17031",2010,1879,1171,141,24,2,223,0,171,18,5,0,27,2,220,0,0,0,50,137,0,31,0,2,0,98,1,0,0,97,"Cook"
"173","G1700310140601","Illinois","17031",2010,1686,1149,138,13,1,194,0,157,10,3,0,24,0,151,0,0,2,21,106,0,13,0,7,2,40,1,0,0,39,"Cook"
"174","G1700310140602","Illinois","17031",2010,3332,2113,322,35,13,293,0,242,21,2,2,23,3,401,2,4,2,26,341,1,21,0,4,0,155,19,10,0,126,"Cook"
"175","G1700310140701","Illinois","17031",2010,1658,979,123,14,7,214,1,159,46,0,1,7,0,271,1,0,0,25,233,0,12,0,0,0,50,4,5,0,41,"Cook"
"176","G1700310140702","Illinois","17031",2010,4153,2612,368,24,16,382,3,248,61,1,5,61,3,599,4,2,0,53,463,0,68,0,2,7,152,20,10,0,122,"Cook"
"177","G1700310140800","Illinois","17031",2010,2780,1728,184,37,11,294,0,176,54,4,13,46,1,428,5,0,0,57,318,0,38,0,10,0,98,6,6,1,85,"Cook"
