"","YEAR","COUNTY","state_county","Mexican","Puerto Rican","Cuban","Guatemalan","Colombian","Ecuadorian","total_pop","total_his"
"1","2018-2022","Cook County","17031",1034038,139918,16571,28091,18355,26550,5225367,1352482
"2","2018-2022","DuPage County","17043",103194,10639,3174,5288,2646,1201,930559,137806
"3","2018-2022","Kane County","17089",140614,11262,1130,1640,1364,653,517254,168609
"4","2018-2022","Lake County","17097",127212,12659,1738,1909,1812,1311,713159,162456
"5","2018-2022","McHenry County","17111",34279,3706,731,280,540,496,311133,44625
"6","2018-2022","Will County","17197",108834,7841,1253,1487,1037,724,696774,129687
"7","2018-2022","Chicago","17031",581376,93843,9050,18579,11383,21245,2710105,787050
"8","2018-2022","Cook County outside of Chicago",NA,452662,46075,7521,9512,6972,5305,2515262,565432
