"","YEAR","COUNTY","state_county","Mexican","Puerto Rican","Cuban","Guatemalan","Colombian","Ecuadorian","total_pop","total_his"
"1",2010,"Cook County","17031",961963,133882,13679,24931,12114,19450,5194675,1244762
"2",2010,"DuPage County","17043",96039,7736,2345,3322,1629,993,916924,121506
"3",2010,"Kane County","17089",139009,8540,843,1094,692,397,515269,158390
"4",2010,"Lake County","17097",111952,9510,1324,1647,1793,546,703462,139987
"5",2010,"McHenry County","17111",28796,2156,439,415,395,223,308760,35249
"6",2010,"Will County","17197",90355,6842,844,1079,761,428,677560,105817
"7",2010,"Chicago","17031",577894,102644,8290,17967,7529,15455,2686766,778353
"8",2010,"Cook County outside of Chicago",NA,384069,31238,5389,6964,4585,3995,2507909,466409
